iter	Passed	Remaining
881	9055	1211
882	9070	1201
883	9076	1190
884	9085	1180
885	9095	1170
886	9101	1159
887	9106	1148
888	9116	1138
889	9120	1127
890	9129	1116
891	9134	1105
892	9138	1095
893	9148	1084
894	9152	1073
895	9160	1063
896	9174	1053
897	9183	1043
898	9192	1032
899	9197	1021
900	9202	1011
901	9207	1000
902	9213	989
903	9226	979
904	9230	968
905	9240	958
906	9245	948
907	9257	937
908	9269	927
909	9275	917
910	9284	907
911	9289	896
912	9307	886
913	9314	876
914	9321	865
915	9325	855
916	9337	845
917	9355	835
918	9367	825
919	9371	814
920	9384	804
921	9388	794
922	9398	784
923	9402	773
924	9407	762
925	9412	752
926	9417	741
927	9428	731
928	9433	720
929	9440	710
930	9445	700
931	9457	690
932	9467	679
933	9472	669
934	9477	658
935	9485	648
936	9489	638
937	9494	627
938	9500	617
939	9505	606
940	9515	596
941	9522	586
942	9530	576
943	9543	566
944	9548	555
945	9554	545
946	9565	535
947	9580	525
948	9584	515
949	9594	504
950	9599	494
951	9609	484
952	9613	474
953	9618	463
954	9629	453
955	9634	443
956	9642	433
957	9647	422
958	9656	412
959	9669	402
960	9674	392
961	9680	382
962	9688	372
963	9693	362
964	9702	351
965	9707	341
966	9712	331
967	9719	321
968	9725	311
969	9731	300
970	9735	290
971	9747	280
972	9756	270
973	9766	260
974	9771	250
975	9775	240
976	9782	230
977	9787	220
978	9797	210
979	9802	200
980	9809	189
981	9814	179
982	9819	169
983	9829	159
984	9834	149
985	9842	139
986	9848	129
987	9863	119
988	9875	109
989	9880	99
990	9888	89
991	9894	79
992	9900	69
993	9907	59
994	9911	49
995	9921	39
996	9928	29
997	9935	19
998	9941	9
999	9950	0
